REF_DATE,GEO,Violations,Statistics,VALUE
2005,Ontario [35],Trespass at night [3490],Actual incidents,988
2006,Ontario [35],Trespass at night [3490],Actual incidents,964
2007,Ontario [35],Trespass at night [3490],Actual incidents,850
2008,Ontario [35],Trespass at night [3490],Actual incidents,799
2009,Ontario [35],Trespass at night [3490],Actual incidents,772
2010,Ontario [35],Trespass at night [3490],Actual incidents,799
2011,Ontario [35],Trespass at night [3490],Actual incidents,774
2012,Ontario [35],Trespass at night [3490],Actual incidents,882
2013,Ontario [35],Trespass at night [3490],Actual incidents,717
2014,Ontario [35],Trespass at night [3490],Actual incidents,692
2015,Ontario [35],Trespass at night [3490],Actual incidents,732
2016,Ontario [35],Trespass at night [3490],Actual incidents,692
2017,Ontario [35],Trespass at night [3490],Actual incidents,812
2018,Ontario [35],Trespass at night [3490],Actual incidents,675
2019,Ontario [35],Trespass at night [3490],Actual incidents,789
2020,Ontario [35],Trespass at night [3490],Actual incidents,1030
2000,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",11.26
2001,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",9.99
2002,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",9.31
2003,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",8
2004,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",7.69
2005,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",7.89
2006,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",7.61
2007,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",6.66
2008,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",6.2
2009,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.94
2010,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",6.08
2011,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.84
2012,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",6.59
2013,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.31
2014,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.08
2015,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.34
2016,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",4.99
2017,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.77
2018,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",4.72
2019,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",5.42
2020,Ontario [35],Trespass at night [3490],"Rate per 100,000 population",6.99
2005,Ontario [35],Public incitement of hatred [3560],Actual incidents,
2006,Ontario [35],Public incitement of hatred [3560],Actual incidents,0
2007,Ontario [35],Public incitement of hatred [3560],Actual incidents,5
2008,Ontario [35],Public incitement of hatred [3560],Actual incidents,8
2009,Ontario [35],Public incitement of hatred [3560],Actual incidents,6
2010,Ontario [35],Public incitement of hatred [3560],Actual incidents,5
2011,Ontario [35],Public incitement of hatred [3560],Actual incidents,3
2012,Ontario [35],Public incitement of hatred [3560],Actual incidents,5
2013,Ontario [35],Public incitement of hatred [3560],Actual incidents,2
2014,Ontario [35],Public incitement of hatred [3560],Actual incidents,3
2015,Ontario [35],Public incitement of hatred [3560],Actual incidents,4
2016,Ontario [35],Public incitement of hatred [3560],Actual incidents,8
2017,Ontario [35],Public incitement of hatred [3560],Actual incidents,29
2018,Ontario [35],Public incitement of hatred [3560],Actual incidents,17
2019,Ontario [35],Public incitement of hatred [3560],Actual incidents,12
2020,Ontario [35],Public incitement of hatred [3560],Actual incidents,19
2005,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",
2006,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0
2007,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.04
2008,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.06
2009,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.05
2010,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.04
2011,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.02
2012,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.04
2013,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.01
2014,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.02
2015,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.03
2016,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.06
2017,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.21
2018,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.12
2019,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.08
2020,Ontario [35],Public incitement of hatred [3560],"Rate per 100,000 population",0.13
2003,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,
2004,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,0
2005,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,1
2006,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,1
2007,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,4
2008,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,6
2009,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,4
2010,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,3
2011,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,0
2012,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,0
2013,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,4
2014,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,6
2015,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,6
2016,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,5
2017,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,0
2018,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,3
2019,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,0
2020,Ontario [35],Facilitate terrorist activity [3714],Actual incidents,2
2003,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",
2004,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0
2005,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.01
2006,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.01
2007,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.03
2008,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.05
2009,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.03
2010,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.02
2011,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0
2012,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0
2013,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.03
2014,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.04
2015,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.04
2016,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.04
2017,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0
2018,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.02
2019,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0
2020,Ontario [35],Facilitate terrorist activity [3714],"Rate per 100,000 population",0.01
2000,Ontario [35],Total impaired driving [910],Actual incidents,22842
2001,Ontario [35],Total impaired driving [910],Actual incidents,21480
2002,Ontario [35],Total impaired driving [910],Actual incidents,20617
2003,Ontario [35],Total impaired driving [910],Actual incidents,18976
2004,Ontario [35],Total impaired driving [910],Actual incidents,18249
2005,Ontario [35],Total impaired driving [910],Actual incidents,17898
2006,Ontario [35],Total impaired driving [910],Actual incidents,17737
2007,Ontario [35],Total impaired driving [910],Actual incidents,17902
2008,Ontario [35],Total impaired driving [910],Actual incidents,18752
2009,Ontario [35],Total impaired driving [910],Actual incidents,18207
2010,Ontario [35],Total impaired driving [910],Actual incidents,17269
2011,Ontario [35],Total impaired driving [910],Actual incidents,17230
2012,Ontario [35],Total impaired driving [910],Actual incidents,17195
2013,Ontario [35],Total impaired driving [910],Actual incidents,15820
2014,Ontario [35],Total impaired driving [910],Actual incidents,15159
2015,Ontario [35],Total impaired driving [910],Actual incidents,15290
2016,Ontario [35],Total impaired driving [910],Actual incidents,14798
2017,Ontario [35],Total impaired driving [910],Actual incidents,14393
2018,Ontario [35],Total impaired driving [910],Actual incidents,14225
2019,Ontario [35],Total impaired driving [910],Actual incidents,15211
2020,Ontario [35],Total impaired driving [910],Actual incidents,15190
2000,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",195.48
2001,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",180.55
2002,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",170.51
2003,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",155
2004,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",147.28
2005,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",142.86
2006,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",140.09
2007,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",140.25
2008,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",145.56
2009,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",140.08
2010,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",131.47
2011,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",129.93
2012,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",128.41
2013,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",117.09
2014,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",111.32
2015,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",111.55
2016,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",106.65
2017,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",102.29
2018,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",99.42
2019,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",104.58
2020,Ontario [35],Total impaired driving [910],"Rate per 100,000 population",103.09
2000,Ontario [35],Total drug violations [401],Actual incidents,29226
2001,Ontario [35],Total drug violations [401],Actual incidents,28147
2002,Ontario [35],Total drug violations [401],Actual incidents,29254
2003,Ontario [35],Total drug violations [401],Actual incidents,22425
2004,Ontario [35],Total drug violations [401],Actual incidents,28359
2005,Ontario [35],Total drug violations [401],Actual incidents,29031
2006,Ontario [35],Total drug violations [401],Actual incidents,31019
2007,Ontario [35],Total drug violations [401],Actual incidents,31203
2008,Ontario [35],Total drug violations [401],Actual incidents,31704
2009,Ontario [35],Total drug violations [401],Actual incidents,30530
2010,Ontario [35],Total drug violations [401],Actual incidents,32618
2011,Ontario [35],Total drug violations [401],Actual incidents,33811
2012,Ontario [35],Total drug violations [401],Actual incidents,33102
2013,Ontario [35],Total drug violations [401],Actual incidents,31492
2014,Ontario [35],Total drug violations [401],Actual incidents,30252
2015,Ontario [35],Total drug violations [401],Actual incidents,27660
2016,Ontario [35],Total drug violations [401],Actual incidents,25278
2017,Ontario [35],Total drug violations [401],Actual incidents,24022
2018,Ontario [35],Total drug violations [401],Actual incidents,21188
2019,Ontario [35],Total drug violations [401],Actual incidents,14490
2020,Ontario [35],Total drug violations [401],Actual incidents,15415
2000,Ontario [35],Total drug violations [401],"Rate per 100,000 population",250.11
2001,Ontario [35],Total drug violations [401],"Rate per 100,000 population",236.6
2002,Ontario [35],Total drug violations [401],"Rate per 100,000 population",241.95
2003,Ontario [35],Total drug violations [401],"Rate per 100,000 population",183.18
2004,Ontario [35],Total drug violations [401],"Rate per 100,000 population",228.88
2005,Ontario [35],Total drug violations [401],"Rate per 100,000 population",231.72
2006,Ontario [35],Total drug violations [401],"Rate per 100,000 population",244.99
2007,Ontario [35],Total drug violations [401],"Rate per 100,000 population",244.46
2008,Ontario [35],Total drug violations [401],"Rate per 100,000 population",246.1
2009,Ontario [35],Total drug violations [401],"Rate per 100,000 population",234.89
2010,Ontario [35],Total drug violations [401],"Rate per 100,000 population",248.33
2011,Ontario [35],Total drug violations [401],"Rate per 100,000 population",254.96
2012,Ontario [35],Total drug violations [401],"Rate per 100,000 population",247.2
2013,Ontario [35],Total drug violations [401],"Rate per 100,000 population",233.09
2014,Ontario [35],Total drug violations [401],"Rate per 100,000 population",222.15
2015,Ontario [35],Total drug violations [401],"Rate per 100,000 population",201.79
2016,Ontario [35],Total drug violations [401],"Rate per 100,000 population",182.18
2017,Ontario [35],Total drug violations [401],"Rate per 100,000 population",170.73
2018,Ontario [35],Total drug violations [401],"Rate per 100,000 population",148.08
2019,Ontario [35],Total drug violations [401],"Rate per 100,000 population",99.62
2020,Ontario [35],Total drug violations [401],"Rate per 100,000 population",104.62
2000,Manitoba [46],Homicide [110],Actual incidents,30
2001,Manitoba [46],Homicide [110],Actual incidents,34
2002,Manitoba [46],Homicide [110],Actual incidents,36
2003,Manitoba [46],Homicide [110],Actual incidents,43
2004,Manitoba [46],Homicide [110],Actual incidents,50
2005,Manitoba [46],Homicide [110],Actual incidents,49
2006,Manitoba [46],Homicide [110],Actual incidents,39
2007,Manitoba [46],Homicide [110],Actual incidents,61
2008,Manitoba [46],Homicide [110],Actual incidents,54
2009,Manitoba [46],Homicide [110],Actual incidents,57
2010,Manitoba [46],Homicide [110],Actual incidents,45
2011,Manitoba [46],Homicide [110],Actual incidents,53
2012,Manitoba [46],Homicide [110],Actual incidents,52
2013,Manitoba [46],Homicide [110],Actual incidents,51
2014,Manitoba [46],Homicide [110],Actual incidents,45
2015,Manitoba [46],Homicide [110],Actual incidents,47
2016,Manitoba [46],Homicide [110],Actual incidents,42
2017,Manitoba [46],Homicide [110],Actual incidents,47
2018,Manitoba [46],Homicide [110],Actual incidents,55
2019,Manitoba [46],Homicide [110],Actual incidents,72
2020,Manitoba [46],Homicide [110],Actual incidents,62
2000,Manitoba [46],Homicide [110],"Rate per 100,000 population",2.61
2001,Manitoba [46],Homicide [110],"Rate per 100,000 population",2.95
2002,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.11
2003,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.69
2004,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.26
2005,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.16
2006,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.3
2007,Manitoba [46],Homicide [110],"Rate per 100,000 population",5.13
2008,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.51
2009,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.72
2010,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.69
2011,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.3
2012,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.16
2013,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.03
2014,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.52
2015,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.64
2016,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.2
2017,Manitoba [46],Homicide [110],"Rate per 100,000 population",3.52
2018,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.07
2019,Manitoba [46],Homicide [110],"Rate per 100,000 population",5.26
2020,Manitoba [46],Homicide [110],"Rate per 100,000 population",4.5
2000,Manitoba [46],Attempted murder [1210],Actual incidents,21
2001,Manitoba [46],Attempted murder [1210],Actual incidents,28
2002,Manitoba [46],Attempted murder [1210],Actual incidents,23
2003,Manitoba [46],Attempted murder [1210],Actual incidents,24
2004,Manitoba [46],Attempted murder [1210],Actual incidents,21
2005,Manitoba [46],Attempted murder [1210],Actual incidents,20
2006,Manitoba [46],Attempted murder [1210],Actual incidents,24
2007,Manitoba [46],Attempted murder [1210],Actual incidents,41
2008,Manitoba [46],Attempted murder [1210],Actual incidents,36
2009,Manitoba [46],Attempted murder [1210],Actual incidents,27
2010,Manitoba [46],Attempted murder [1210],Actual incidents,26
2011,Manitoba [46],Attempted murder [1210],Actual incidents,33
2012,Manitoba [46],Attempted murder [1210],Actual incidents,22
2013,Manitoba [46],Attempted murder [1210],Actual incidents,29
2014,Manitoba [46],Attempted murder [1210],Actual incidents,19
2015,Manitoba [46],Attempted murder [1210],Actual incidents,31
2016,Manitoba [46],Attempted murder [1210],Actual incidents,43
2017,Manitoba [46],Attempted murder [1210],Actual incidents,41
2018,Manitoba [46],Attempted murder [1210],Actual incidents,36
2019,Manitoba [46],Attempted murder [1210],Actual incidents,28
2020,Manitoba [46],Attempted murder [1210],Actual incidents,19
2000,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.83
2001,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.43
2002,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.99
2003,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.06
2004,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.79
2005,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.7
2006,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.03
2007,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",3.45
2008,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",3.01
2009,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.23
2010,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.13
2011,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.67
2012,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.76
2013,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.29
2014,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.49
2015,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.4
2016,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",3.27
2017,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",3.07
2018,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.66
2019,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",2.04
2020,Manitoba [46],Attempted murder [1210],"Rate per 100,000 population",1.38
2000,Manitoba [46],Total sexual violations against children [130],Actual incidents,
2001,Manitoba [46],Total sexual violations against children [130],Actual incidents,
2002,Manitoba [46],Total sexual violations against children [130],Actual incidents,0
2003,Manitoba [46],Total sexual violations against children [130],Actual incidents,1
2004,Manitoba [46],Total sexual violations against children [130],Actual incidents,4
2005,Manitoba [46],Total sexual violations against children [130],Actual incidents,2
2006,Manitoba [46],Total sexual violations against children [130],Actual incidents,11
2007,Manitoba [46],Total sexual violations against children [130],Actual incidents,2
2008,Manitoba [46],Total sexual violations against children [130],Actual incidents,15
2009,Manitoba [46],Total sexual violations against children [130],Actual incidents,60
2010,Manitoba [46],Total sexual violations against children [130],Actual incidents,135
2011,Manitoba [46],Total sexual violations against children [130],Actual incidents,173
2012,Manitoba [46],Total sexual violations against children [130],Actual incidents,159
2013,Manitoba [46],Total sexual violations against children [130],Actual incidents,174
2014,Manitoba [46],Total sexual violations against children [130],Actual incidents,207
2015,Manitoba [46],Total sexual violations against children [130],Actual incidents,264
2016,Manitoba [46],Total sexual violations against children [130],Actual incidents,498
2017,Manitoba [46],Total sexual violations against children [130],Actual incidents,526
2018,Manitoba [46],Total sexual violations against children [130],Actual incidents,590
2019,Manitoba [46],Total sexual violations against children [130],Actual incidents,655
2020,Manitoba [46],Total sexual violations against children [130],Actual incidents,704
2000,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",
2001,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",
2002,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0
2003,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0.09
2004,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0.34
2005,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0.17
2006,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0.93
2007,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",0.17
2008,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",1.25
2009,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",4.96
2010,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",11.06
2011,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",14.02
2012,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",12.72
2013,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",13.76
2014,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",16.18
2015,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",20.43
2016,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",37.9
2017,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",39.41
2018,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",43.61
2019,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",47.83
2020,Manitoba [46],Total sexual violations against children [130],"Rate per 100,000 population",51.04
2000,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,160
2001,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,189
2002,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,167
2003,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,308
2004,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,264
2005,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,162
2006,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,79
2007,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,65
2008,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,101
2009,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,128
2010,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,200
2011,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,202
2012,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,195
2013,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,156
2014,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,132
2015,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,195
2016,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,195
2017,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,186
2018,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,201
2019,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,287
2020,Manitoba [46],"Total firearms, use of, discharge, pointing [150]",Actual incidents,280
2000,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",13.94
2001,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",16.41
2002,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",14.44
2003,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",26.46
2004,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",22.5
2005,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",13.75
2006,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",6.67
2007,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",5.47
2008,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",8.43
2009,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",10.59
2010,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",16.38
2011,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",16.37
2012,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",15.6
2013,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",12.34
2014,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",10.32
2015,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",15.09
2016,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",14.84
2017,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",13.93
2018,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",14.86
2019,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",20.96
2020,Manitoba [46],"Total firearms, use of, discharge, pointing [150]","Rate per 100,000 population",20.3
2000,Manitoba [46],Total robbery [160],Actual incidents,2090
2001,Manitoba [46],Total robbery [160],Actual incidents,2041
2002,Manitoba [46],Total robbery [160],Actual incidents,1835
2003,Manitoba [46],Total robbery [160],Actual incidents,1971
2004,Manitoba [46],Total robbery [160],Actual incidents,1966
2005,Manitoba [46],Total robbery [160],Actual incidents,2263
2006,Manitoba [46],Total robbery [160],Actual incidents,2416
2007,Manitoba [46],Total robbery [160],Actual incidents,2403
2008,Manitoba [46],Total robbery [160],Actual incidents,1908
2009,Manitoba [46],Total robbery [160],Actual incidents,2427
2010,Manitoba [46],Total robbery [160],Actual incidents,2187
2011,Manitoba [46],Total robbery [160],Actual incidents,2224
2012,Manitoba [46],Total robbery [160],Actual incidents,2134
2013,Manitoba [46],Total robbery [160],Actual incidents,1646
2014,Manitoba [46],Total robbery [160],Actual incidents,1531
2015,Manitoba [46],Total robbery [160],Actual incidents,1668
2016,Manitoba [46],Total robbery [160],Actual incidents,2062
2017,Manitoba [46],Total robbery [160],Actual incidents,2360
2018,Manitoba [46],Total robbery [160],Actual incidents,2671
2019,Manitoba [46],Total robbery [160],Actual incidents,2692
2020,Manitoba [46],Total robbery [160],Actual incidents,2240
2000,Manitoba [46],Total robbery [160],"Rate per 100,000 population",182.16
2001,Manitoba [46],Total robbery [160],"Rate per 100,000 population",177.26
2002,Manitoba [46],Total robbery [160],"Rate per 100,000 population",158.65
2003,Manitoba [46],Total robbery [160],"Rate per 100,000 population",169.36
2004,Manitoba [46],Total robbery [160],"Rate per 100,000 population",167.52
2005,Manitoba [46],Total robbery [160],"Rate per 100,000 population",192.06
2006,Manitoba [46],Total robbery [160],"Rate per 100,000 population",204.14
2007,Manitoba [46],Total robbery [160],"Rate per 100,000 population",202.04
2008,Manitoba [46],Total robbery [160],"Rate per 100,000 population",159.3
2009,Manitoba [46],Total robbery [160],"Rate per 100,000 population",200.81
2010,Manitoba [46],Total robbery [160],"Rate per 100,000 population",179.13
2011,Manitoba [46],Total robbery [160],"Rate per 100,000 population",180.28
2012,Manitoba [46],Total robbery [160],"Rate per 100,000 population",170.72
2013,Manitoba [46],Total robbery [160],"Rate per 100,000 population",130.16
2014,Manitoba [46],Total robbery [160],"Rate per 100,000 population",119.7
2015,Manitoba [46],Total robbery [160],"Rate per 100,000 population",129.08
2016,Manitoba [46],Total robbery [160],"Rate per 100,000 population",156.91
2017,Manitoba [46],Total robbery [160],"Rate per 100,000 population",176.81
2018,Manitoba [46],Total robbery [160],"Rate per 100,000 population",197.44
2019,Manitoba [46],Total robbery [160],"Rate per 100,000 population",196.56
2020,Manitoba [46],Total robbery [160],"Rate per 100,000 population",162.41
2000,Manitoba [46],Total theft of motor vehicle [220],Actual incidents,11806
2001,Manitoba [46],Total theft of motor vehicle [220],Actual incidents,13200
2002,Manitoba [46],Total theft of motor vehicle [220],Actual incidents,12116
2003,Manitoba [46],Total theft of motor vehicle [220],Actual incidents,12893
2004,Manitoba [46],Total theft of motor vehicle [220],Actual incidents,15954
